PublicID	OrigID	TrLen	CDSoff	AAqual	TrGaps	Dbxref	Namealign	Product_Name	CDD_Name	Class	Maploc	Mapqual
NonamEVm003963t1	AT1G50920.1	2394	119-2134	671,84%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm023318t1	AT1G36960.1	546	1-546	181,100%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm005728t1	AT1G44020.1	2314	1-1734	577,74%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm014141t1	AT1G15970.1	1658	375-1433	352,63%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm019189t1	AT1G73440.1	1453	56-820	254,52%,complete-utrpoor	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm026057t1	AT1G73440.1utrorf	554	126-545	139,75%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm011678t1	AT1G75120.1	1520	147-1355	402,79%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm001014t1	AT1G17600.1	3332	93-3242	1049,94%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm012112t1	AT1G51380.1	1452	79-1257	392,81%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm026637t1	AT1G77370.1	620	74-466	130,63%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm012478t1	AT1G44090.1	1158	1-1158	385,100%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm005484t1	AT1G10950.1	2245	114-1883	589,78%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm021548t1	AT1G51360.1	717	25-657	210,88%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm025012t1	AT1G14940.1	757	52-519	155,61%,complete	0	na	0	Uncharacterized protein	na	main	0	0
NonamEVm008492t1	AT1G50950.1	1782	146-1600	484,81%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm010659t1	AT1G75110.1	1568	49-1335	428,82%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm017131t1	AT1G17400.1	1477	237-1124	295,60%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm022362t1	AT1G50930.1	790	62-652	196,74%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
NonamEVm015613t1	AT1G09400.1	1182	44-1018	324,82%,complete	0	na	0	Uncharacterized protein	na	noclass	0	0
